broker_name,broker_email,broker_telephone,broker_type,broker_address,broker_postcode,broker_agency_name,customer_name,customer_address,customer_postcode,business_description,trade_description,renewal_date,target_premium,response_by,current_insurer,product,existing_broker,case_rec_date,el_wageroll_table,case,date,email_subject
True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,True,False,True,True,True,00201524,2024-01-22 15:10:19,new business quotation - - commercial combined - - ssv ltd t/a second sight video - - due 31/05/2023
True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,00201525,2024-01-22 15:10:24,fw: new business quote: croylek limited
True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,00201526,2024-01-22 15:12:58,new business quotation - twinplast ltd - 1st june 2023
True,True,True,True,True,False,False,False,True,True,True,False,True,False,True,True,True,True,False,True,00201527,2024-01-22 15:32:51,new business. commercial combined enquiry - electrolytic plating co ltd
True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,00201528,2024-01-22 15:33:00,new business; commercial combined; mirus
True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True,True,00201529,2024-01-22 15:33:12,new combined enquiry - ap claxton ltd
True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,True,True,False,True,00201530,2024-01-22 15:33:32,new business submission: transputec ltd
True,True,True,True,True,False,True,True,True,False,True,False,True,False,False,True,True,True,False,True,00201531,2024-01-22 15:33:41,new commercial combined enquiry | disotto foods limited - due: 26th june 2023
True,True,True,True,True,False,True,True,True,False,True,False,True,True,False,True,True,True,False,True,00201532,2024-01-22 15:33:41,new combined (leisure) enquiry - cs2010 ltd renewal 30th june
True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,00201533,2024-01-22 15:33:58,new commercial combined enquiry - keyboard print solutions ltd - 26th june 2023
True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,00201534,2024-01-22 15:33:59,commercial combined presentation - entwistle thorpe & co ltd - renewal date 30/06/2023
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,00201535,2024-01-22 15:34:10,new commercial combined quote - circus lonco limited t/as circus
True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,00201536,2024-01-22 15:34:24,new commercial combined lead - autac products ltd & autac assemblies ltd - due 3rd of june
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,00201537,2024-01-22 15:34:26,new commercial combined quotes - arh sports equipment ltd. enable aid ltd. machinepart engineering ltd
True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,00201538,2024-01-22 15:34:44,commercial combined presentation - rectella ltd - renewal date 30/06/203
True,True,True,True,True,False,True,True,True,False,True,False,False,True,False,True,True,False,False,True,00201539,2024-01-22 15:35:41,new commercial combined submission: alara wholefoods limited - deadline: 9th june 2023
True,True,True,True,False,False,False,False,True,True,True,False,True,True,False,True,False,True,True,True,00201540,2024-01-22 15:35:46,acceptance of this email is subject to our terms and conditions which can be viewed here.
True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,00201541,2024-01-22 15:35:46,new commercial combined quotation - ashgates group ltd
True,True,True,True,True,False,False,True,True,False,True,False,True,True,False,True,True,True,False,True,00201542,2024-01-22 15:35:51,"this email and any attachments are sent in confidence, subject to applicable legal privilege and upon the basis that the recipient will conduct appropriate virus checks. if you receive this email in error, please telephone us upon receipt and delete the email upon our instruction: you are strictly prohibited from using, copying or disseminating it or any information contained in it, save to the intended recipient. internet communications are not secure and rowlands & hames insurance brokers ltd is not responsible for their abuse by third parties, nor for any alteration or corruption in transmission, nor for any damage or loss caused by any virus or other defect. further, rowlands & hames insurance brokers ltd is not responsible for the sender's views which are not necessarily the view of rowlands & hames insurance"
True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,00201543,2024-01-22 15:35:57,new combined enquiry - l c automation limited
True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True,True,True,00201544,2024-01-22 15:36:40,new commercial combined enquiry - aet transport group ltd
True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,True,00201545,2024-01-22 15:36:51,new commercial combined enquiry - rgs investments ltd - due 20/06/23
True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,00201546,2024-01-22 15:37:20,new commercial combined enquiry - jksp services ltd
True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,00201550,2024-01-22 16:59:55,new enquiry - miltons (wallpapers) ltd
True,True,True,True,True,False,True,True,True,False,False,False,False,True,False,True,True,True,True,True,00201551,2024-01-22 17:00:05,commercial combined presentation 2023
True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,00201552,2024-01-22 17:00:19,new enquiry - raven roofing ltd - fairly urgent
True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,True,True,True,00201553,2024-01-22 17:00:22,new hotel combined submission - hydro services (seamill) t/as seamill hydro
True,True,True,True,True,False,True,True,True,False,True,False,True,True,False,True,True,False,True,True,00201554,2024-01-22 17:00:30,new enquiry - newhey carpets ltd - due 19/06importance: high
True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,False,True,True,True,00201555,2024-01-22 17:00:36,new enquiry - the crusty cob ltd - bakery and cafes - 7th june
True,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,True,00201556,2024-01-22 17:00:36,new enquiry - hermeq uk holdings ltd t/as safe fence ltd
True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,True,00201557,2024-01-22 17:00:40,"new proposal xl displays limited, display/exhibition stand manufacturer"
True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,00201558,2024-01-22 17:00:40,new enquiry white knight service group ltd
True,True,True,True,False,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,00201559,2024-01-22 17:00:43,new enquiry scott cinemas
True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,True,False,True,True,True,00201560,2024-01-22 17:00:45,new enquiry - spavin pallets ltd
True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,00201561,2024-01-22 17:00:44,fw: new manufacturing combined enquiry - singleton engineering ltdimportance: high
True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,True,00201562,2024-01-22 17:00:50,new enquiry - eversys uk ltdimportance: high
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,00201563,2024-01-22 17:00:52,"confidentiality notice & disclaimer: this email and any attachments are strictly confidential and remain the property of ubt. it must not be disclosed to third parties without the express written approval of ubt. if you are not the intended recipient you must not disclose or use the information in any way and must delete this email. when addressed to our clients, any advice or information in the email or its attachments is subject to the terms of our client engagement letter."
True,True,True,True,False,False,False,True,True,False,True,False,True,True,True,True,True,True,True,True,00201564,2024-01-22 17:00:58,fw: commercial combined presentation -4pluk ltdimportance: high
True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,00201565,2024-01-22 17:01:00,new risk presentation - christina may limited t/a the english soap company
True,True,True,True,True,False,False,False,True,False,True,False,True,True,True,True,True,False,False,True,00201566,2024-01-22 17:01:10,new quotation request - commercial combined - ardlui hotel marina and holiday home park - 30 june renewal
True,True,True,True,True,False,True,True,True,False,True,False,True,True,False,True,True,True,False,True,00201567,2024-01-22 17:01:07,new enquiry - ace logistics ltd & bespoke uk logistics ltd
True,True,True,True,True,False,True,True,True,False,True,False,False,True,False,True,False,True,True,True,00201568,2024-01-22 17:01:10,new quotation request - bucket & spade ltd
True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,True,True,True,True,True,00201569,2024-01-22 17:01:13,new risk - london cake store ltd t/as the cake store
True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,00201570,2024-01-22 17:01:14,new quote request: advanced composite engineering
True,True,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,True,True,True,00201571,2024-01-22 17:01:28,"regulatory disclaimerweald insurance brokers ltd is authorised and regulated by the financial conduct authority (fca registered number 301679). registered office: knighthood house, imberhorne lane, east grinstead, west sussex, rh19 1lb. registered in england 00957953. this communication contains information which is confidential and may also be privileged. it is for the exclusive use of the intended recipient(s). if you are not the intended recipient(s) please note that any form of distribution, copying or use of this communication or the information in it is strictly prohibited and may be unlawful. if you have received this communication in error, please return it with the subject header ""received in error"" to kevin.clohessy@wealdinsurance.com then delete the email and destroy any copies of it."
True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,True,True,True,True,True,00201572,2024-01-22 17:01:30,north kent logistics - submission - commercial combined required back 6th june 2023
True,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False,True,00201573,2024-01-22 17:01:30,"this communication is from adler fairways, a trading style of adler fairways insurance brokers limited, registered in england no. 4525948. registered office number 22 mount ephraim, tunbridge wells, england, tn4 8as. this message is for the intended recipient only. it may contain confidential or proprietary information. if you receive this message in error, please immediately delete it, destroy all copies of it and notify the sender. you must not use or disclose any part of this message if you are not the intended recipient. we take reasonable precautions to ensure our e-mails are virus free. however, we cannot accept responsibility for any virus transmitted by us and recommend that you subject any incoming email to your own virus checking procedures"
True,True,True,True,True,False,True,True,True,False,False,False,True,False,False,True,True,True,True,True,00201574,2024-01-22 17:01:34,new submission - lakeland leather
True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,00201575,2024-01-22 17:01:37,o2 worx limited
True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,00201576,2024-01-22 17:02:03,novastone sf12 topco ltd and forza doors ltd - commercial combined - 30/06/2023importance: high
True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,00201577,2024-01-22 17:01:59,orchard park hotel limited - commercial combined & property
True,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True,True,True,True,00201578,2024-01-22 17:02:14,parks (london) limited - quote request
True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,True,True,False,False,True,00201579,2024-01-22 17:02:18,parkway timber co ltd - market presentation
True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,00201580,2024-01-22 17:02:39,new quote - cofield ltd - cover required asapimportance: high
True,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,00201581,2024-01-22 17:02:43,commercial combined presentation for su-bridge pet supplies ltd
True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,00201582,2024-01-22 17:02:49,oyster boy ltd t/a daffodil mulligan - renewal 7th june 2023
True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,True,True,True,False,True,00201583,2024-01-22 17:03:09,new quote required - lune valley timber buildings ltd - commercial -2023importance: high
True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,True,True,True,True,00201584,2024-01-22 17:03:15,presentation - m & m supplies (uk) plc - commercial combined renewal 26.06.23
True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,True,True,True,True,00201585,2024-01-22 17:03:30,presentation kamkee food limited.
True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,True,True,True,True,True,00201586,2024-01-22 17:03:28,quaser microwave technology ltd - new commercial combined insuranceimportance: high
True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,00201587,2024-01-22 17:06:16,pemberstone ventures ltd - new business enquiry
True,True,True,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,True,00201588,2024-01-22 17:06:54,pesto
True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,True,True,True,True,True,00201589,2024-01-22 17:07:09,pocklington's bakery ltd - commercial combined - covea on extension until 7th june importance: high
True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,00201597,2024-01-23 13:37:14,quotation - tradestock limited - 13737536importance: high
True,True,True,True,True,False,False,True,True,False,True,False,True,False,False,True,True,True,True,True,00201598,2024-01-23 13:53:20,commercial combined quotation - sealskinz ltd - renewal date 1st july 2023
True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,00201599,2024-01-23 13:54:07,quotation request - on-wood products ltd
True,True,False,True,True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,True,00201601,2024-01-23 13:57:30,quotation request: capital hair & beauty ltd - commercial combined insurance - renewal date: 30.06.2023
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,00201602,2024-01-23 13:57:55,quotation request - whitehill country park ltd
True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,True,False,True,False,True,00201603,2024-01-23 14:01:48,quotation request for bestsellers direct limited
True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,True,True,00201604,2024-01-23 14:03:21,quotation request - solu4ions limited
True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,True,True,True,False,True,00201605,2024-01-23 14:05:46,quotation required- commercial combined - millennium medical products ltd due 29/05/2023
True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,True,00201606,2024-01-23 14:05:53,quotation required: johnsons 1871 ltd
True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,True,True,False,True,00201607,2024-01-23 14:05:53,quote request - harding sales ltd trading as british spirals and castings [rfq ref: 119355113]
True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,00201608,2024-01-23 14:06:03,quote request - cotswold energy group limited - contractors insurance
True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,00201609,2024-01-23 14:06:02,quotation required - quick self storage (peterborough)
True,True,True,True,True,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True,00201610,2024-01-23 14:06:56,quote request - la bowl ltd importance: high
True,True,True,True,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,00201611,2024-01-23 14:09:35,"confidentiality notice & disclaimer: this email and any attachments are strictly confidential and remain the property of ubt. it must not be disclosed to third parties without the express written approval of ubt. if you are not the intended recipient you must not disclose or use the information in any way and must delete this email. when addressed to our clients, any advice or information in the email or its attachments is subject to the terms of our client engagement letter."
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,00201612,2024-01-23 14:11:43,quote request for blind technique ltd - existing client renewal due 30/06/23 ref: 593060356]
True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,00201613,2024-01-23 14:12:05,quote request in the name of aston matthews limited - due: 30/6/23
True,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,True,True,False,True,00201614,2024-01-23 14:12:41,"quote required - client name: robert eyre, geoffrey eyre & rachel frost t/as william eyre & sons [rfq ref: 119077961]"
True,True,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,True,True,00201615,2024-01-23 14:13:05,quote required - b w refrigeration and air conditioning ltd [rfq ref: 119641028]
True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,00201616,2024-01-23 14:13:04,quote required - the embassy of the republic of argentina [rfq ref: 119614268]
True,True,False,True,True,False,False,True,True,True,True,False,True,False,False,True,True,True,False,True,00201617,2024-01-23 14:13:07,commercial combined quote request - charles buyers & co ltd [secure email]
True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,00201618,2024-01-23 14:13:08,quote required j w young butchers
True,True,True,True,True,False,True,True,True,False,True,False,False,True,False,True,True,True,False,True,00201619,2024-01-23 14:13:12,quote required - client name: the hire supply co. (uk) ltd. [quote ref: 591768777]importance: high
True,True,True,True,True,False,False,True,True,False,True,False,True,True,False,True,False,True,True,True,00201620,2024-01-23 14:13:17,fw: quote required for stacatruc ltd [rfq ref: 120113240]
True,True,True,True,True,False,True,True,True,False,True,False,False,True,False,True,True,True,True,True,00201621,2024-01-23 14:13:26,quote required [rfq ref: 120022189]
True,True,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True,True,True,True,00201622,2024-01-23 14:14:23,quote request for scafell hotel limited
True,True,True,True,True,False,False,True,True,False,False,False,True,False,True,True,True,True,False,True,00201623,2024-01-23 14:14:27,quote required- medical moulded products ltd [rfq ref: 118918420]
True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,True,False,False,False,True,00201624,2024-01-23 14:14:34,fw: commercial combined quotation - warren manor holdings ltd t/a vault self storage blackpool
True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,True,True,True,True,True,00201625,2024-01-23 14:15:01,quote required for mc kenna precision engineering ltd - start: 01/06/2023
True,True,True,True,True,False,True,True,True,False,True,False,True,True,False,True,True,True,False,True,00201626,2024-01-23 14:16:36,"kind regardsjames nash | account handler | rees astley t: 01743 290366 | e: jnash@reesastley.co.ukunits 5&6, sweetlake business village, shrewsbury, shropshire, sy3 9ewcommercial and personal insurance and financial planningaberystwyth .. newtown .. shrewsburywww.reesastley.co.uk - commercial and personal insurance and financial planningwww.insurance4performingarts.co.uk - performing arts insurance available onlineis your business ready for a cyber attack?this e-mail is sent in confidence for the addressee only. it may contain confidential or proprietary information. if you receive this message in error, please delete it immediately, destroy all copies of it and notify the sender. you must not use or disclose any part of this message if you are not the intended recipient.we take reasonable precautions to ensure our e-mails are virus free. however, we cannot accept responsibility for any virus transmitted by us. we recommend that you subject any incoming e-mail to your own virus checking procedures.rees astley is a trading style of rees astley insurance brokers ltd and rees astley independent financial advisers ltd.rees astley insurance brokers ltd is authorised and regulated by the financial conduct authority (frn 750805).rees astley independent financial advisers ltd is authorised and regulated by the financial conduct authority (frn 148187).the aforementioned companies are wholly owned by rees astley (holdings) ltd, a company registered in england and wales – 06452448 whose registered office address is 29 north parade, aberystwyth, ceredigion sy23 2jn."
True,True,True,True,True,False,False,True,True,False,True,False,True,False,True,True,False,True,True,True,00201627,2024-01-23 14:16:39,quote required for purrform limited [quote ref: 588635737]
True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,True,False,True,True,True,00201628,2024-01-23 14:17:53,quote required - s u consultancy ltd [rfq ref: 119266880]
True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,True,True,True,True,True,00201631,2024-01-23 14:25:53,re new commercial combined enquiry for laser expertise limited - rnl 09/06/2023
True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True,True,True,00201632,2024-01-23 14:26:02,re urgent new quote john williams heating services ltd importance: high
True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,00201633,2024-01-23 14:26:18,request for quote - notter mill country park - 22/06 rnwl
True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,00201634,2024-01-23 14:26:33,[secure email] - new contractors combined submission - excelsior land ltd
True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,00201635,2024-01-23 14:26:33,"important: at finch commercial insurance brokers we take data security seriously, under the new data protection legislation (gdpr) eu data subjects are provided with increased rights in relation to their personal data. it is our duty to ensure you are informed of the purpose for the processing of your personal data, who is the controller of your data,the legal basis for the processing of your data, including who may receive the data and more. all this information can be found on our privacy notice available here.please note: this e-mail is confidential and may be protected by law. this e-mail is intended solely for the named recipient(s). if you receive this e-mail in error, please notify the sender immediately by telephone on 0118 969 8855. please do not disclose the contents to any other person, use information contained in it for any purpose, store or copy it. although this e-mail and any attachments are believed to be free of any virus, which might affect a computer system into which it is received and opened, finch commercial insurance brokers ltd can not guarantee this and does not accept responsibility for any damage resulting from the use of this e-mail. copyright in this e-mail and any attachments remains with us."
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,00201636,2024-01-23 14:26:49,s g window systems ltd
True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,True,True,False,True,True,00201637,2024-01-23 14:26:55,re thorns and co limited - commercial combined - 24/06/2023
True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,00201638,2024-01-23 14:26:59,scanna mcs ltd due 1st june
True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,False,False,True,True,00201639,2024-01-23 14:27:11,relocabroad ltd t/as stayo - due 14th june
True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,00201640,2024-01-23 14:27:13,risk submission for mike davies fabrication ltdimportance: high
True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,00201641,2024-01-23 14:27:13,fw: sfr (gb) ltd - new commercial combined presentation
True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,00201642,2024-01-23 14:27:17,fw: ryles highland ltd t/a caledonian sheet metal works - new business quote required - due 22/06/2023
True,True,True,True,True,False,True,True,True,False,True,False,False,True,False,True,False,False,False,True,00201643,2024-01-23 14:27:19,commercial combined quote required - print & display ltd [rfq ref: 119493032]
True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,True,True,False,True,True,00201644,2024-01-23 14:27:33,short's of hawick - quotation required
True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,00201645,2024-01-23 14:27:32,re: simply chapters ltd &/or chapter one restaurant limitedimportance: high
True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,False,True,00201646,2024-01-23 14:27:32,"south west engineering & fabrications limited - commercial combined, engineering, fleet & excess of loss renewal quotes required - renewal date 14/15th june 2023 - deadline date 05th june 2023"
True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,00201647,2024-01-23 14:27:33,silverlining furniture group limited- commercial combined quote due 9th june 2023
True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,True,00201648,2024-01-23 14:27:46,contact details - josh parsons
True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,00201649,2024-01-23 14:27:45,submission - trevors warehouses ltd - commercial combined required back 21.6.2023
True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,True,True,True,False,True,00201650,2024-01-23 14:27:50,st eval candle company ltd - renewal presentation - renewal date 7/6/2023
True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,True,True,00201651,2024-01-23 14:28:02,submission - towsure products ltd - due 11/06
True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,00201652,2024-01-25 10:10:22,the assemblies ltd and /or the harbourside (bristol ltd and /or the old market assembly ltd and / or canteen west ltd
True,True,True,True,False,False,False,True,True,True,True,False,True,True,False,True,True,True,False,True,00201653,2024-01-23 14:28:32,sheldon inns ltd - commercial combined quote - query
True,True,True,True,True,False,True,True,True,False,True,False,False,True,False,True,False,True,True,True,00201654,2024-01-23 14:28:36,stanhill court hotel ltd - renewal 24th may
True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,False,True,True,00201655,2024-01-23 14:28:52,swift caterers limited
True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,00201656,2024-01-23 14:28:54,the scottish ornithologists club - commercial combined enquiry
True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,True,00201657,2024-01-23 14:29:15,the ostrich (colnbrook) ltd - market presentation
True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,True,True,True,True,True,00201658,2024-01-23 14:29:17,commercial combined quote required : j hayward & sons of walsall ltd & anaheim transport ltd [version ref: 114643789]
True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,00201659,2024-01-23 14:29:21,fw: the corbett group ltd - commercial combined/property owners due 17th may 2023importance: high
True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,True,False,True,00201660,2024-01-23 14:30:08,commercial combined quote request - datel holdings ltd & subsidiary companies
True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,00201661,2024-01-23 14:30:52,the buffalo farm ltd - commercial combined
True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,00201662,2024-01-23 14:31:04,selective marketplace ltd - combined presentation. due 01/06 + 14 day extension
True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,True,00201663,2024-01-23 14:48:39,fw: thermal hire ltd
True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,00201664,2024-01-25 15:53:28,thorntons law llp - commercial combined (01/06/2023)
True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,00201665,2024-01-23 14:49:10,transvac systems ltd
True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,00201666,2024-01-23 14:49:24,tpbi uk ltd - new quote
True,True,True,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,True,True,00201667,2024-01-23 14:49:30,aeromark communications ltd & or aac services ltd &/or answerlink services ltd &/or jo marks &/or roger marks - commercial combined enquiry - due 4th june 2023
True,True,True,True,True,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True,00201668,2024-01-23 14:49:32,fw: universal tool and production company ltd
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,00201669,2024-01-23 14:49:46,commercial combined quote request - umbel restaurant grp limited
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,00201670,2024-01-23 14:49:46,commercial combined quote required for western sign systems ltd [secure email]
True,True,True,True,True,False,False,False,True,True,True,False,True,False,False,True,True,True,True,True,00201671,2024-01-23 14:49:49,urgent - commercial combined quotation - banyo ltdimportance: high
True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,00201672,2024-01-23 14:49:50,commercial combined quote required [secure email]
True,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,True,True,00201673,2024-01-23 14:49:52,universal consumer products limited - quotation request
